type,pts_value,pts_timescale,host_seconds,appended
video,171128169510583,1000000000,171128.18405129167,true
video,171128186177166,1000000000,171128.18584829167,true
audio,171128169967541,1000000000,171128.19399470833,true
video,171128202843708,1000000000,171128.20199995834,true
audio,171128189967500,1000000000,171128.212907625,true
video,171128219510333,1000000000,171128.219244375,true
audio,171128209967541,1000000000,171128.2341995,true
video,171128236176916,1000000000,171128.23651395834,true
audio,171128229967541,1000000000,171128.255610625,true
video,171128261176916,1000000000,171128.256696,true
video,171128277843416,1000000000,171128.27358100002,true
audio,171128249967500,1000000000,171128.2768481667,true
video,171128294510000,1000000000,171128.29105675002,true
audio,171128269967541,1000000000,171128.29827654167,true
video,171128311176583,1000000000,171128.307845875,true
audio,171128289967541,1000000000,171128.3195424167,true
video,171128327843166,1000000000,171128.324558625,true
audio,171128309967541,1000000000,171128.34089745834,true
video,171128344509791,1000000000,171128.34205266667,true
video,171128361176375,1000000000,171128.35930445834,true
audio,171128329967541,1000000000,171128.36215729167,true
video,171128377842916,1000000000,171128.3760525,true
audio,171128349967541,1000000000,171128.38348054167,true
video,171128394509541,1000000000,171128.3932910417,true
audio,171128369967541,1000000000,171128.40485004167,true
video,171128411176083,1000000000,171128.41055641667,true
audio,171128389967541,1000000000,171128.426187375,true
video,171128427842666,1000000000,171128.4273426667,true
video,171128444509250,1000000000,171128.4446602917,true
audio,171128409967541,1000000000,171128.44754579169,true
video,171128469509166,1000000000,171128.46477283334,true
audio,171128429967541,1000000000,171128.46885970834,true
video,171128486175750,1000000000,171128.48196987502,true
audio,171128449967541,1000000000,171128.49017508334,true
audio,171128469967500,1000000000,171128.49022383333,true
video,171128502842333,1000000000,171128.49879833334,true
audio,171128489967541,1000000000,171128.511531125,true
video,171128519508958,1000000000,171128.51602258335,true
video,171128536175500,1000000000,171128.53280654168,true
audio,171128509967541,1000000000,171128.53285125,true
video,171128552842125,1000000000,171128.55007054168,true
audio,171128529967500,1000000000,171128.554233,true
video,171128569508708,1000000000,171128.56680808336,true
audio,171128549967541,1000000000,171128.57553408336,true
video,171128586175291,1000000000,171128.58409000002,true
audio,171128569967541,1000000000,171128.5968955,true
video,171128602841875,1000000000,171128.601371,true
video,171128619508458,1000000000,171128.61809508334,true
audio,171128589967541,1000000000,171128.61815762502,true
video,171128636175208,1000000000,171128.63567595836,true
audio,171128609967541,1000000000,171128.6395215,true
video,171128652841666,1000000000,171128.65237704167,true
audio,171128629967541,1000000000,171128.66086075,true
video,171128669508250,1000000000,171128.66948758333,true
audio,171128649967541,1000000000,171128.682176125,true
video,171128686174833,1000000000,171128.686308625,true
video,171128702841416,1000000000,171128.70298925,true
audio,171128669967541,1000000000,171128.70341458335,true
video,171128719508041,1000000000,171128.71967895835,true
audio,171128689967500,1000000000,171128.7248655,true
video,171128744507916,1000000000,171128.73940820835,true
audio,171128709967541,1000000000,171128.746194875,true
video,171128761174583,1000000000,171128.75723608333,true
audio,171128729967541,1000000000,171128.76752595833,true
video,171128777841083,1000000000,171128.77401225,true
audio,171128749967500,1000000000,171128.78888775,true
video,171128794507666,1000000000,171128.79129633334,true
video,171128811174250,1000000000,171128.80838075,true
audio,171128769967541,1000000000,171128.81011445835,true
audio,171128789967541,1000000000,171128.81014062502,true
video,171128827840833,1000000000,171128.82511920834,true
audio,171128809967541,1000000000,171128.83155033336,true
video,171128844507458,1000000000,171128.84285016666,true
audio,171128829967541,1000000000,171128.85282645834,true
video,171128861174041,1000000000,171128.86026483335,true
audio,171128849967541,1000000000,171128.874208375,true
video,171128877840625,1000000000,171128.87722733335,true
video,171128894507250,1000000000,171128.8940225,true
audio,171128869967541,1000000000,171128.8955245,true
video,171128911173833,1000000000,171128.911184625,true
audio,171128889967541,1000000000,171128.91686533333,true
video,171128927840416,1000000000,171128.9279536667,true
audio,171128909967541,1000000000,171128.9382391667,true
video,171128944506958,1000000000,171128.94460870835,true
audio,171128929967541,1000000000,171128.9595405417,true
video,171128969506833,1000000000,171128.96416329168,true
audio,171128949967541,1000000000,171128.98082637502,true
video,171128986173416,1000000000,171128.98189154168,true
video,171129002840000,1000000000,171128.99868779167,true
audio,171128969967500,1000000000,171129.00217625,true
video,171129019506625,1000000000,171129.01622991668,true
audio,171128989967541,1000000000,171129.02362025002,true
video,171129036173333,1000000000,171129.03368075,true
audio,171129009967541,1000000000,171129.044843,true
video,171129052839791,1000000000,171129.05028808335,true
audio,171129029967500,1000000000,171129.066247,true
video,171129069506375,1000000000,171129.06711416668,true
video,171129086173083,1000000000,171129.085000625,true
audio,171129049967541,1000000000,171129.0875176667,true
video,171129102839583,1000000000,171129.10246820835,true
audio,171129069967541,1000000000,171129.10887495836,true
video,171129119506166,1000000000,171129.11954370834,true
audio,171129089967541,1000000000,171129.13022329166,true
audio,171129109967541,1000000000,171129.130271375,true
video,171129136172791,1000000000,171129.136313625,true
audio,171129129967541,1000000000,171129.15156875,true
video,171129152839333,1000000000,171129.1529951667,true
video,171129169505916,1000000000,171129.169803,true
video,171129186172625,1000000000,171129.18656308335,true
audio,171129149967541,1000000000,171129.194269125,true
video,171129202839083,1000000000,171129.20309783335,true
audio,171129169967541,1000000000,171129.21554229167,true
video,171129219505833,1000000000,171129.21983220836,true
audio,171129189967500,1000000000,171129.23690029167,true
video,171129244505583,1000000000,171129.23966466667,true
video,171129261172333,1000000000,171129.25734341668,true
audio,171129209967541,1000000000,171129.25818162502,true
