type,pts_value,pts_timescale,host_seconds,appended
audio,180591755995458,1000000000,180591.786995,true
video,180591787874583,1000000000,180591.788084125,true
video,180591804541125,1000000000,180591.80482366667,true
audio,180591775995416,1000000000,180591.80827470834,true
video,180591829541041,1000000000,180591.82488662502,true
audio,180591795995458,1000000000,180591.82958837503,true
video,180591846207625,1000000000,180591.84279608334,true
audio,180591815995458,1000000000,180591.85088808334,true
video,180591862874250,1000000000,180591.85955762502,true
audio,180591835995458,1000000000,180591.872222125,true
video,180591879540833,1000000000,180591.87710166667,true
audio,180591855995458,1000000000,180591.89357120835,true
video,180591896207416,1000000000,180591.894306875,true
video,180591912874083,1000000000,180591.91201758335,true
audio,180591875995458,1000000000,180591.91491225,true
video,180591929540625,1000000000,180591.92913158334,true
audio,180591895995458,1000000000,180591.93621670833,true
video,180591946207208,1000000000,180591.94628754168,true
audio,180591915995458,1000000000,180591.95764862502,true
video,180591962873791,1000000000,180591.96312420836,true
audio,180591935995458,1000000000,180591.978955875,true
video,180591987873708,1000000000,180591.98300937502,true
video,180592004540291,1000000000,180591.999722,true
audio,180591955995458,1000000000,180592.00018795836,true
video,180592021206875,1000000000,180592.016336875,true
audio,180591975995458,1000000000,180592.02153908333,true
video,180592037873500,1000000000,180592.03341429168,true
audio,180591995995416,1000000000,180592.04292487502,true
video,180592054540083,1000000000,180592.05126741668,true
audio,180592015995458,1000000000,180592.06423758334,true
video,180592071206666,1000000000,180592.06893850002,true
audio,180592035995458,1000000000,180592.08561033334,true
video,180592087873291,1000000000,180592.085712125,true
video,180592104539875,1000000000,180592.10342612502,true
audio,180592055995416,1000000000,180592.10686583334,true
audio,180592075995458,1000000000,180592.10690983335,true
video,180592121206458,1000000000,180592.12090283335,true
audio,180592095995458,1000000000,180592.12819041667,true
video,180592137873000,1000000000,180592.13806629166,true
audio,180592115995458,1000000000,180592.14957645835,true
video,180592162872958,1000000000,180592.15824466667,true
audio,180592135995458,1000000000,180592.17086920835,true
video,180592179539500,1000000000,180592.17663416668,true
audio,180592155995458,1000000000,180592.192251,true
video,180592196206083,1000000000,180592.19342220834,true
video,180592212872708,1000000000,180592.21111616667,true
audio,180592175995458,1000000000,180592.2135382917,true
video,180592229539291,1000000000,180592.22851412502,true
audio,180592195995458,1000000000,180592.23490045834,true
video,180592246205875,1000000000,180592.24580804168,true
audio,180592215995416,1000000000,180592.256242,true
video,180592262872458,1000000000,180592.2628139167,true
audio,180592235995458,1000000000,180592.2775249167,true
video,180592279539083,1000000000,180592.27967591668,true
audio,180592255995458,1000000000,180592.298893125,true
video,180592304538958,1000000000,180592.300739,true
video,180592321205541,1000000000,180592.3181012917,true
audio,180592275995416,1000000000,180592.32015529167,true
video,180592337872166,1000000000,180592.33543929167,true
audio,180592295995458,1000000000,180592.34152462502,true
video,180592354538750,1000000000,180592.35228766667,true
audio,180592315995458,1000000000,180592.362872875,true
video,180592371205333,1000000000,180592.36945625002,true
audio,180592335995458,1000000000,180592.38422075,true
video,180592387871916,1000000000,180592.387292875,true
video,180592404538541,1000000000,180592.40389154167,true
audio,180592355995458,1000000000,180592.40552250002,true
video,180592421205125,1000000000,180592.42081204167,true
audio,180592375995458,1000000000,180592.42690791667,true
audio,180592395995458,1000000000,180592.426962125,true
video,180592437871708,1000000000,180592.43813008335,true
audio,180592415995458,1000000000,180592.44819891668,true
video,180592462871625,1000000000,180592.45806133334,true
audio,180592435995458,1000000000,180592.4695485,true
video,180592479538208,1000000000,180592.47587304167,true
audio,180592455995458,1000000000,180592.49090858334,true
video,180592496204791,1000000000,180592.4928965417,true
video,180592512871375,1000000000,180592.50998,true
audio,180592475995458,1000000000,180592.51218775002,true
video,180592529538000,1000000000,180592.52725241668,true
audio,180592495995416,1000000000,180592.53352704167,true
video,180592537871291,1000000000,180592.54464500002,true
audio,180592515995458,1000000000,180592.55492712502,true
video,180592562871125,1000000000,180592.5614315,true
audio,180592535995458,1000000000,180592.5762265,true
video,180592579537833,1000000000,180592.57917504167,true
video,180592596204375,1000000000,180592.59568854168,true
audio,180592555995416,1000000000,180592.59755383336,true
video,180592612870958,1000000000,180592.61325875,true
audio,180592575995458,1000000000,180592.61892958335,true
video,180592621204250,1000000000,180592.62998758335,true
audio,180592595995458,1000000000,180592.64023229168,true
video,180592654537458,1000000000,180592.64862770835,true
audio,180592615995458,1000000000,180592.661541,true
video,180592662870708,1000000000,180592.66633341668,true
audio,180592635995458,1000000000,180592.6722170417,true
video,180592687870541,1000000000,180592.68381416667,true
audio,180592655995458,1000000000,180592.69360687502,true
video,180592704537250,1000000000,180592.70126325,true
audio,180592675995458,1000000000,180592.71491504167,true
video,180592721203833,1000000000,180592.71937150002,true
audio,180592695995458,1000000000,180592.73623833334,true
video,180592737870458,1000000000,180592.7364865,true
video,180592754537000,1000000000,180592.75397658334,true
audio,180592715995416,1000000000,180592.75753625002,true
video,180592771203583,1000000000,180592.77116262502,true
audio,180592735995458,1000000000,180592.77890758336,true
audio,180592755995458,1000000000,180592.778949875,true
video,180592787870166,1000000000,180592.78804145835,true
audio,180592775995416,1000000000,180592.80019183335,true
video,180592804536750,1000000000,180592.80487466668,true
audio,180592795995458,1000000000,180592.82154929166,true
video,180592829536666,1000000000,180592.82669091667,true
audio,180592815995458,1000000000,180592.842909625,true
video,180592846203250,1000000000,180592.84424500001,true
video,180592862869875,1000000000,180592.861493875,true
audio,180592835995458,1000000000,180592.86421379168,true
video,180592879536458,1000000000,180592.87893258335,true
audio,180592855995458,1000000000,180592.88560295835,true
video,180592896203083,1000000000,180592.895725125,true
audio,180592875995458,1000000000,180592.906968125,true
video,180592912869666,1000000000,180592.91306541668,true
audio,180592895995458,1000000000,180592.92822212502,true
video,180592937869541,1000000000,180592.93298412501,true
audio,180592915995458,1000000000,180592.94959645835,true
video,180592954536125,1000000000,180592.94974,true
video,180592971202708,1000000000,180592.9664815,true
audio,180592935995458,1000000000,180592.9708732917,true
video,180592987869333,1000000000,180592.98313879166,true
audio,180592955995458,1000000000,180592.992207375,true
video,180593004535916,1000000000,180593.0008500417,true
audio,180592975995458,1000000000,180593.01358104168,true
video,180593021202500,1000000000,180593.01761116667,true
audio,180592995995416,1000000000,180593.0349305,true
video,180593037869125,1000000000,180593.035398,true
video,180593054535708,1000000000,180593.05345020833,true
audio,180593015995458,1000000000,180593.05624554167,true
video,180593071202291,1000000000,180593.07068916666,true
audio,180593035995458,1000000000,180593.07755775002,true
video,180593087868916,1000000000,180593.08821391666,true
audio,180593055995416,1000000000,180593.09889683334,true
audio,180593075995458,1000000000,180593.0989424167,true
video,180593112868791,1000000000,180593.10826004168,true
audio,180593095995458,1000000000,180593.12023754168,true
video,180593129535375,1000000000,180593.12609320835,true
audio,180593115995458,1000000000,180593.14154108334,true
video,180593146201958,1000000000,180593.14260858335,true
video,180593162868583,1000000000,180593.1597065,true
audio,180593135995458,1000000000,180593.16293025002,true
video,180593179535208,1000000000,180593.17669141668,true
audio,180593155995458,1000000000,180593.18426308336,true
video,180593196201750,1000000000,180593.19411500002,true
audio,180593175995458,1000000000,180593.20552445835,true
video,180593212868333,1000000000,180593.2119407917,true
audio,180593195995458,1000000000,180593.22691895833,true
video,180593229534916,1000000000,180593.22991687502,true
video,180593246201500,1000000000,180593.2465882917,true
audio,180593215995416,1000000000,180593.24819108334,true
video,180593262868083,1000000000,180593.26314650002,true
audio,180593235995458,1000000000,180593.26953420835,true
video,180593287868000,1000000000,180593.28314558335,true
audio,180593255995458,1000000000,180593.29092425,true
video,180593304534625,1000000000,180593.3016044167,true
audio,180593275995416,1000000000,180593.3122382917,true
video,180593321201166,1000000000,180593.31911579167,true
audio,180593295995458,1000000000,180593.33356262502,true
video,180593337867791,1000000000,180593.33633966668,true
video,180593354534375,1000000000,180593.35332441668,true
audio,180593315995458,1000000000,180593.35491720834,true
video,180593371200958,1000000000,180593.37131629168,true
audio,180593335995458,1000000000,180593.37634437502,true
video,180593387867541,1000000000,180593.38816183334,true
audio,180593355995458,1000000000,180593.397573375,true
video,180593412867458,1000000000,180593.4085775,true
audio,180593375995458,1000000000,180593.41892141668,true
audio,180593395995458,1000000000,180593.41897066668,true
video,180593429534083,1000000000,180593.42700870836,true
audio,180593415995458,1000000000,180593.4402692917,true
video,180593446200625,1000000000,180593.44479820834,true
audio,180593435995458,1000000000,180593.46160666668,true
video,180593462867250,1000000000,180593.46172175,true
video,180593479533833,1000000000,180593.47834375,true
audio,180593455995458,1000000000,180593.48285979166,true
video,180593496200458,1000000000,180593.49622370835,true
audio,180593475995458,1000000000,180593.50421925,true
video,180593512867041,1000000000,180593.5131325,true
audio,180593495995416,1000000000,180593.5255757917,true
video,180593529533666,1000000000,180593.52971358335,true
video,180593546200208,1000000000,180593.5464065,true
audio,180593515995458,1000000000,180593.54682775002,true
video,180593562866791,1000000000,180593.563313875,true
audio,180593535995458,1000000000,180593.56827508335,true
video,180593587866708,1000000000,180593.58392550002,true
audio,180593555995416,1000000000,180593.5895589167,true
video,180593604533291,1000000000,180593.60046616668,true
audio,180593575995458,1000000000,180593.610907625,true
video,180593621199916,1000000000,180593.61852029167,true
audio,180593595995458,1000000000,180593.63221370833,true
video,180593637866500,1000000000,180593.63590312502,true
video,180593654533125,1000000000,180593.6535720417,true
audio,180593615995458,1000000000,180593.6536292917,true
video,180593671199708,1000000000,180593.6703015,true
audio,180593635995458,1000000000,180593.67484720834,true
video,180593687866291,1000000000,180593.68828729168,true
audio,180593655995458,1000000000,180593.69619641668,true
video,180593704532916,1000000000,180593.70470091669,true
audio,180593675995458,1000000000,180593.717630875,true
video,180593721199500,1000000000,180593.721613375,true
