type,pts_value,pts_timescale,host_seconds,appended
audio,180973956285125,1000000000,180973.99117920836,true
video,180974002767666,1000000000,180974.001694625,true
audio,180973976285125,1000000000,180974.0124887917,true
video,180974019434250,1000000000,180974.01844875002,true
audio,180973996285125,1000000000,180974.03384054167,true
video,180974036100833,1000000000,180974.03581058336,true
video,180974052767458,1000000000,180974.05261866667,true
audio,180974016285125,1000000000,180974.05513800003,true
video,180974069434041,1000000000,180974.069617375,true
audio,180974036285125,1000000000,180974.07655054168,true
video,180974094433916,1000000000,180974.08921966667,true
audio,180974056285083,1000000000,180974.0979465,true
video,180974111100541,1000000000,180974.10612862502,true
audio,180974076285125,1000000000,180974.11918595835,true
video,180974127767166,1000000000,180974.12291258335,true
video,180974144433750,1000000000,180974.13975779168,true
audio,180974096285125,1000000000,180974.14056729167,true
video,180974161100333,1000000000,180974.15692304168,true
audio,180974116285083,1000000000,180974.16184145835,true
video,180974177766958,1000000000,180974.1742691667,true
audio,180974136285125,1000000000,180974.18323945833,true
video,180974194433583,1000000000,180974.19119079167,true
audio,180974156285125,1000000000,180974.204547375,true
video,180974211100125,1000000000,180974.20887716667,true
audio,180974176285125,1000000000,180974.22585404167,true
video,180974227766750,1000000000,180974.22637466667,true
video,180974244433333,1000000000,180974.24328995834,true
audio,180974196285125,1000000000,180974.24729250002,true
audio,180974216285125,1000000000,180974.24734587502,true
video,180974261099916,1000000000,180974.26015566668,true
audio,180974236285125,1000000000,180974.26856083336,true
video,180974277766500,1000000000,180974.27761337502,true
audio,180974256285125,1000000000,180974.28988395835,true
video,180974294433083,1000000000,180974.29478958333,true
audio,180974276285125,1000000000,180974.31124358333,true
video,180974311099750,1000000000,180974.31138570834,true
video,180974336099666,1000000000,180974.33120191668,true
audio,180974296285125,1000000000,180974.33247970833,true
video,180974352766250,1000000000,180974.34899391668,true
audio,180974316285125,1000000000,180974.353802875,true
video,180974369432791,1000000000,180974.365946375,true
audio,180974336285083,1000000000,180974.375231125,true
video,180974386099458,1000000000,180974.38382037502,true
audio,180974356285125,1000000000,180974.39651870835,true
video,180974402766000,1000000000,180974.40039908333,true
video,180974419432625,1000000000,180974.41702925,true
audio,180974376285125,1000000000,180974.41783979168,true
video,180974436099291,1000000000,180974.43421145834,true
audio,180974396285083,1000000000,180974.43916366668,true
video,180974452765875,1000000000,180974.45148016667,true
audio,180974416285125,1000000000,180974.46051562502,true
video,180974469432458,1000000000,180974.46808875,true
audio,180974436285125,1000000000,180974.48182091667,true
video,180974486099041,1000000000,180974.48555045834,true
video,180974502765666,1000000000,180974.50260754168,true
audio,180974456285125,1000000000,180974.50318883333,true
video,180974519432250,1000000000,180974.51957645835,true
audio,180974476285125,1000000000,180974.52451804167,true
video,180974536098833,1000000000,180974.5363197917,true
audio,180974496285125,1000000000,180974.54588241669,true
video,180974561098791,1000000000,180974.55533275002,true
audio,180974516285125,1000000000,180974.56718466667,true
audio,180974536285125,1000000000,180974.56722725002,true
audio,180974556285083,1000000000,180974.58849208333,true
video,180974586098625,1000000000,180974.59055920836,true
video,180974602765250,1000000000,180974.60796975,true
audio,180974576285125,1000000000,180974.60980416668,true
video,180974627765083,1000000000,180974.62474879168,true
audio,180974596285125,1000000000,180974.63114491667,true
audio,180974616285083,1000000000,180974.65245541668,true
video,180974652765000,1000000000,180974.66049470834,true
audio,180974636285125,1000000000,180974.6738375417,true
video,180974677764875,1000000000,180974.67821462502,true
audio,180974656285125,1000000000,180974.69511287502,true
video,180974702764791,1000000000,180974.69754470835,true
video,180974719431416,1000000000,180974.71463470833,true
audio,180974676285125,1000000000,180974.7165675,true
video,180974736098041,1000000000,180974.7322780417,true
audio,180974696285125,1000000000,180974.737893125,true
video,180974752764666,1000000000,180974.750277,true
audio,180974716285125,1000000000,180974.759200125,true
video,180974769431250,1000000000,180974.76720445833,true
audio,180974736285125,1000000000,180974.7805294167,true
video,180974786097833,1000000000,180974.784927375,true
audio,180974756285125,1000000000,180974.8018336667,true
video,180974802764416,1000000000,180974.80253108335,true
audio,180974776285125,1000000000,180974.8124560417,true
video,180974819431041,1000000000,180974.81956766668,true
audio,180974796285125,1000000000,180974.83387679167,true
video,180974836097583,1000000000,180974.8364132917,true
video,180974852764208,1000000000,180974.85306191668,true
audio,180974816285125,1000000000,180974.85519187502,true
video,180974877764125,1000000000,180974.874427875,true
audio,180974836285083,1000000000,180974.87654650002,true
