video,170050715865916,1000000000,170050.74187866668,true
video,170050740865708,1000000000,170050.74227895835,true
video,170050757532250,1000000000,170050.7526692917,true
audio,170050735382958,1000000000,170050.75922920834,true
video,170050774198916,1000000000,170050.77055175,true
audio,170050755382958,1000000000,170050.77964929168,true
video,170050790865500,1000000000,170050.78849025,true
audio,170050775382958,1000000000,170050.80088275002,true
video,170050807532083,1000000000,170050.8054689167,true
audio,170050795382958,1000000000,170050.82226770834,true
video,170050824198708,1000000000,170050.82257770834,true
video,170050840865291,1000000000,170050.83953908333,true
audio,170050815382958,1000000000,170050.84361841666,true
video,170050857532000,1000000000,170050.85640516668,true
audio,170050835382958,1000000000,170050.86496229167,true
video,170050874198500,1000000000,170050.87406620834,true
audio,170050855382958,1000000000,170050.88631016668,true
video,170050890865208,1000000000,170050.89102991667,true
audio,170050875382916,1000000000,170050.90764337502,true
video,170050907531708,1000000000,170050.9077534167,true
video,170050932531583,1000000000,170050.92718570834,true
audio,170050895382958,1000000000,170050.9289045,true
video,170050949198208,1000000000,170050.9440705,true
audio,170050915382958,1000000000,170050.95025245834,true
video,170050965864791,1000000000,170050.96156254166,true
audio,170050935382958,1000000000,170050.97163891667,true
video,170050982531458,1000000000,170050.97942554168,true
audio,170050955382958,1000000000,170050.99297054167,true
video,170050999197916,1000000000,170050.99661079168,true
video,170051015864541,1000000000,170051.01399525002,true
audio,170050975382958,1000000000,170051.01425104166,true
video,170051032531125,1000000000,170051.03105766667,true
audio,170050995382958,1000000000,170051.035609125,true
audio,170051015382958,1000000000,170051.03565204167,true
video,170051049197833,1000000000,170051.04805150002,true
audio,170051035382958,1000000000,170051.05693166668,true
video,170051065864458,1000000000,170051.065156625,true
audio,170051055382958,1000000000,170051.07827854168,true
video,170051082530958,1000000000,170051.08188820834,true
video,170051099197541,1000000000,170051.0992820417,true
audio,170051075382958,1000000000,170051.09962020835,true
video,170051115864125,1000000000,170051.116140625,true
audio,170051095382916,1000000000,170051.12098375,true
video,170051132530708,1000000000,170051.13286995835,true
audio,170051115382958,1000000000,170051.14228458333,true
video,170051157530625,1000000000,170051.153193875,true
audio,170051135382958,1000000000,170051.16362541667,true
video,170051174197208,1000000000,170051.170969,true
audio,170051155382916,1000000000,170051.18494958334,true
video,170051190863916,1000000000,170051.18787570833,true
video,170051207530416,1000000000,170051.20491945834,true
audio,170051175382958,1000000000,170051.2062649167,true
video,170051224197125,1000000000,170051.22170708334,true
audio,170051195382958,1000000000,170051.22767583333,true
video,170051240863750,1000000000,170051.23929316667,true
audio,170051215382958,1000000000,170051.24894320834,true
video,170051257530208,1000000000,170051.25589416668,true
audio,170051235382958,1000000000,170051.27027133334,true
video,170051274196875,1000000000,170051.27368208335,true
video,170051290863416,1000000000,170051.29118391668,true
audio,170051255382958,1000000000,170051.29154641667,true
video,170051315863416,1000000000,170051.31110020835,true
audio,170051275382958,1000000000,170051.31295104168,true
video,170051332530041,1000000000,170051.3291892917,true
audio,170051295382958,1000000000,170051.33424808335,true
video,170051349196625,1000000000,170051.34683770835,true
audio,170051315382958,1000000000,170051.35566958334,true
audio,170051335382958,1000000000,170051.355748375,true
video,170051365863125,1000000000,170051.364722125,true
audio,170051355382958,1000000000,170051.37702008334,true
video,170051382529708,1000000000,170051.38144325002,true
audio,170051375382916,1000000000,170051.39834554167,true
video,170051399196333,1000000000,170051.39876050001,true
video,170051415862916,1000000000,170051.41603800002,true
audio,170051395382958,1000000000,170051.41959595834,true
video,170051432529500,1000000000,170051.43276516668,true
audio,170051415382958,1000000000,170051.44093441666,true
video,170051449196125,1000000000,170051.449518625,true
audio,170051435382958,1000000000,170051.46223341668,true
video,170051474196125,1000000000,170051.46931645833,true
audio,170051455382958,1000000000,170051.48357100002,true
video,170051490862625,1000000000,170051.48668716667,true
video,170051507529208,1000000000,170051.50375612502,true
audio,170051475382958,1000000000,170051.50491258333,true
video,170051524195833,1000000000,170051.52054658334,true
audio,170051495382958,1000000000,170051.52626954167,true
video,170051540862375,1000000000,170051.53768554167,true
audio,170051515382958,1000000000,170051.54767079168,true
video,170051557528958,1000000000,170051.55515875,true
audio,170051535382958,1000000000,170051.56896408333,true
video,170051574195583,1000000000,170051.57208291668,true
video,170051590862166,1000000000,170051.58935304167,true
audio,170051555382958,1000000000,170051.59023329167,true
video,170051607528875,1000000000,170051.60613908333,true
audio,170051575382958,1000000000,170051.61161683334,true
video,170051624195375,1000000000,170051.62352391667,true
audio,170051595382916,1000000000,170051.6329594167,true
video,170051640862083,1000000000,170051.64086975,true
audio,170051615382958,1000000000,170051.654281625,true
video,170051657528583,1000000000,170051.65776395836,true
audio,170051635382958,1000000000,170051.67560754166,true
audio,170051655382916,1000000000,170051.67567712502,true
video,170051682528458,1000000000,170051.676982375,true
video,170051699195083,1000000000,170051.69403879167,true
audio,170051675382958,1000000000,170051.6969229167,true
video,170051715861666,1000000000,170051.71071520835,true
video,170051732528250,1000000000,170051.72865241667,true
audio,170051695382958,1000000000,170051.73964758334,true
video,170051749194958,1000000000,170051.7453415,true
audio,170051715382958,1000000000,170051.76105083333,true
video,170051765861458,1000000000,170051.7627405,true
video,170051782528083,1000000000,170051.779569125,true
audio,170051735382958,1000000000,170051.78227525,true
video,170051799194666,1000000000,170051.79650704167,true
audio,170051755382958,1000000000,170051.803599875,true
video,170051815861375,1000000000,170051.81404129168,true
audio,170051775382958,1000000000,170051.8250195417,true
video,170051832527875,1000000000,170051.83133425002,true
audio,170051795382958,1000000000,170051.8463236667,true
audio,170051815382958,1000000000,170051.84636041668,true
video,170051849194458,1000000000,170051.848402625,true
video,170051865861083,1000000000,170051.86531333334,true
audio,170051835382958,1000000000,170051.86764900002,true
video,170051882527625,1000000000,170051.88224550002,true
audio,170051855382958,1000000000,170051.88898791667,true
video,170051899194250,1000000000,170051.89952383333,true
audio,170051875382916,1000000000,170051.91027704166,true
video,170051915860833,1000000000,170051.916005,true
audio,170051895382958,1000000000,170051.93163783333,true
video,170051932527416,1000000000,170051.9327585,true
audio,170051915382958,1000000000,170051.95294808334,true
video,170051957527375,1000000000,170051.95330270834,true
video,170051974193958,1000000000,170051.9707236667,true
audio,170051935382958,1000000000,170051.97429904167,true
video,170051990860541,1000000000,170051.98768366667,true
audio,170051955382958,1000000000,170051.99566191668,true
video,170052007527250,1000000000,170052.00515491667,true
audio,170051975382958,1000000000,170052.01698933335,true
video,170052024193875,1000000000,170052.021825,true
audio,170051995382958,1000000000,170052.03829908333,true
video,170052040860333,1000000000,170052.03923704167,true
video,170052057526916,1000000000,170052.05595983335,true
audio,170052015382958,1000000000,170052.05954695833,true
video,170052074193541,1000000000,170052.07376683335,true
audio,170052035382958,1000000000,170052.08096204168,true
video,170052090860083,1000000000,170052.091217,true
audio,170052055382958,1000000000,170052.10227,true
video,170052107526791,1000000000,170052.10775870836,true
audio,170052075382958,1000000000,170052.12378529168,true
video,170052124193416,1000000000,170052.124442875,true
audio,170052095382916,1000000000,170052.14501391668,true
video,170052149193208,1000000000,170052.14534658333,true
video,170052165859791,1000000000,170052.16294345833,true
audio,170052115382958,1000000000,170052.16624583333,true
audio,170052135382958,1000000000,170052.16628358336,true
video,170052182526375,1000000000,170052.179773125,true
audio,170052155382916,1000000000,170052.18761633334,true
video,170052199193000,1000000000,170052.19649408336,true
audio,170052175382958,1000000000,170052.20896762502,true
video,170052215859583,1000000000,170052.21443479168,true
audio,170052195382958,1000000000,170052.23030925,true
video,170052232526166,1000000000,170052.23120308336,true
video,170052249192791,1000000000,170052.24777333334,true
audio,170052215382958,1000000000,170052.25168854167,true
video,170052265859500,1000000000,170052.26534970835,true
audio,170052235382958,1000000000,170052.27300508335,true
video,170052282526000,1000000000,170052.28209083335,true
audio,170052255382958,1000000000,170052.29424125,true
video,170052299192583,1000000000,170052.29935441667,true
audio,170052275382958,1000000000,170052.31563066668,true
